model_id,source_repo,source_lang,target_lang,vocab_size,model_type,eval_method,variants,stars,quality_label,status
tcbig-bible_deu_eng_fra_por_spa-gmw,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-gmw,tcbig,gmw,48183,translation,seq2seq,"base,ct2,ct2_int8,lora",3.1666666666666665,Good,api_success
crs-fi,Helsinki-NLP/opus-mt-crs-fi,crs,fi,48214,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fi-crs,Helsinki-NLP/opus-mt-fi-crs,fi,crs,48214,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fr-pis,Helsinki-NLP/opus-mt-fr-pis,fr,pis,48358,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
pis-fr,Helsinki-NLP/opus-mt-pis-fr,pis,fr,48358,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
zai-es,Helsinki-NLP/opus-mt-zai-es,zai,es,48431,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
es-zai,Helsinki-NLP/opus-mt-es-zai,es,zai,48431,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fi-iso,Helsinki-NLP/opus-mt-fi-iso,fi,iso,48544,translation,seq2seq,"base,ct2,ct2_int8,lora",4.5,Gold Standard,api_success
iso-fi,Helsinki-NLP/opus-mt-iso-fi,iso,fi,48544,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
ase-sv,Helsinki-NLP/opus-mt-ase-sv,ase,sv,48742,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
sv-ase,Helsinki-NLP/opus-mt-sv-ase,sv,ase,48742,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
en_el_es_fi-en_el_es_fi,Helsinki-NLP/opus-mt-en_el_es_fi-en_el_es_fi,en_el_es_fi,en_el_es_fi,48824,translation,seq2seq,"base,ct2,ct2_int8,lora",0.5,Experimental,api_success
tc-bible-big-gem-deu_eng_fra_por_spa,Helsinki-NLP/opus-mt-tc-bible-big-gem-deu_eng_fra_por_spa,tc,deu_eng_fra_por_spa,48859,translation,seq2seq,"base,ct2,ct2_int8,lora",0.16666666666666666,Experimental,api_success
tcbig-bible_gem-deu_eng_fra_por_spa,Helsinki-NLP/opus-mt-tc-bible-big-gem-deu_eng_fra_por_spa,tcbig,deu_eng_fra_por_spa,48859,translation,seq2seq,"base,ct2,ct2_int8,lora",0.5,Experimental,api_success
mfe-en,Helsinki-NLP/opus-mt-mfe-en,mfe,en,48883,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
en-mfe,Helsinki-NLP/opus-mt-en-mfe,en,mfe,48883,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
kg-fr,Helsinki-NLP/opus-mt-kg-fr,kg,fr,48888,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fr-kg,Helsinki-NLP/opus-mt-fr-kg,fr,kg,48888,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
de-pis,Helsinki-NLP/opus-mt-de-pis,de,pis,48977,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
de-ht,Helsinki-NLP/opus-mt-de-ht,de,ht,49000,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
sv-mos,Helsinki-NLP/opus-mt-sv-mos,sv,mos,49003,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tcbig-bible_deu_eng_fra_por_spa-gem,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-gem,tcbig,gem,49013,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tc-bible-big-deu_eng_fra_por_spa-gem,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-gem,tc,gem,49013,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
pis-es,Helsinki-NLP/opus-mt-pis-es,pis,es,49022,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
es-pis,Helsinki-NLP/opus-mt-es-pis,es,pis,49022,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fr-ht,Helsinki-NLP/opus-mt-fr-ht,fr,ht,49027,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
ht-fr,Helsinki-NLP/opus-mt-ht-fr,ht,fr,49027,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
kg-sv,Helsinki-NLP/opus-mt-kg-sv,kg,sv,49070,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
sv-kg,Helsinki-NLP/opus-mt-sv-kg,sv,kg,49070,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fr-mos,Helsinki-NLP/opus-mt-fr-mos,fr,mos,49211,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fi-ht,Helsinki-NLP/opus-mt-fi-ht,fi,ht,49235,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
ht-fi,Helsinki-NLP/opus-mt-ht-fi,ht,fi,49235,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tpi-en,Helsinki-NLP/opus-mt-tpi-en,tpi,en,49238,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
en-tpi,Helsinki-NLP/opus-mt-en-tpi,en,tpi,49238,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
ht-es,Helsinki-NLP/opus-mt-ht-es,ht,es,49387,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
es-ht,Helsinki-NLP/opus-mt-es-ht,es,ht,49387,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
lus-en,Helsinki-NLP/opus-mt-lus-en,lus,en,49567,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
en-lus,Helsinki-NLP/opus-mt-en-lus,en,lus,49567,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
ca-es,Helsinki-NLP/opus-mt-ca-es,ca,es,49621,translation,seq2seq,"base,ct2,ct2_int8,lora",1.5,Basic,api_success
mh-en,Helsinki-NLP/opus-mt-mh-en,mh,en,49657,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
en-mh,Helsinki-NLP/opus-mt-en-mh,en,mh,49657,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
es-kg,Helsinki-NLP/opus-mt-es-kg,es,kg,49808,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
kg-es,Helsinki-NLP/opus-mt-kg-es,kg,es,49808,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
ng-en,Helsinki-NLP/opus-mt-ng-en,ng,en,49883,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
en-ng,Helsinki-NLP/opus-mt-en-ng,en,ng,49883,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
de-kg,Helsinki-NLP/opus-mt-de-kg,de,kg,49964,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
en-gil,Helsinki-NLP/opus-mt-en-gil,en,gil,50021,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
gil-en,Helsinki-NLP/opus-mt-gil-en,gil,en,50021,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
en-kj,Helsinki-NLP/opus-mt-en-kj,en,kj,50183,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
kj-en,Helsinki-NLP/opus-mt-kj-en,kj,en,50183,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
kwn-en,Helsinki-NLP/opus-mt-kwn-en,kwn,en,50346,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
en-kwn,Helsinki-NLP/opus-mt-en-kwn,en,kwn,50346,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fi-mos,Helsinki-NLP/opus-mt-fi-mos,fi,mos,50438,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fi-pis,Helsinki-NLP/opus-mt-fi-pis,fi,pis,50443,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
pis-fi,Helsinki-NLP/opus-mt-pis-fi,pis,fi,50443,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fi-kg,Helsinki-NLP/opus-mt-fi-kg,fi,kg,50740,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fr-ase,Helsinki-NLP/opus-mt-fr-ase,fr,ase,50895,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
ase-fr,Helsinki-NLP/opus-mt-ase-fr,ase,fr,50895,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
bzs-sv,Helsinki-NLP/opus-mt-bzs-sv,bzs,sv,51381,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
sv-bzs,Helsinki-NLP/opus-mt-sv-bzs,sv,bzs,51381,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
bzs-es,Helsinki-NLP/opus-mt-bzs-es,bzs,es,51421,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
es-bzs,Helsinki-NLP/opus-mt-es-bzs,es,bzs,51421,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
sv-tpi,Helsinki-NLP/opus-mt-sv-tpi,sv,tpi,51725,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tpi-sv,Helsinki-NLP/opus-mt-tpi-sv,tpi,sv,51725,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
es-ca,Helsinki-NLP/opus-mt-es-ca,es,ca,51970,translation,seq2seq,"base,ct2,ct2_int8,lora",1.6666666666666667,Basic,api_success
sv-mfe,Helsinki-NLP/opus-mt-sv-mfe,sv,mfe,52013,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
sv-lus,Helsinki-NLP/opus-mt-sv-lus,sv,lus,52179,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
lus-sv,Helsinki-NLP/opus-mt-lus-sv,lus,sv,52179,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
luo-en,Helsinki-NLP/opus-mt-luo-en,luo,en,52236,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
en-luo,Helsinki-NLP/opus-mt-en-luo,en,luo,52236,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
guw-en,Helsinki-NLP/opus-mt-guw-en,guw,en,52253,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
en-guw,Helsinki-NLP/opus-mt-en-guw,en,guw,52253,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tc-big-cel-en,Helsinki-NLP/opus-mt-tc-big-cel-en,tc,en,52335,translation,seq2seq,"base,ct2,ct2_int8,lora",0.5,Experimental,api_success
tcbig-cel-en,Helsinki-NLP/opus-mt-tc-big-cel-en,tcbig,en,52335,translation,seq2seq,"base,ct2,ct2_int8,lora",0.3333333333333333,Experimental,api_success
sv-NORWAY,Helsinki-NLP/opus-mt-sv-NORWAY,sv,NORWAY,52443,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
sv-gil,Helsinki-NLP/opus-mt-sv-gil,sv,gil,52623,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
gil-sv,Helsinki-NLP/opus-mt-gil-sv,gil,sv,52623,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
sv-mh,Helsinki-NLP/opus-mt-sv-mh,sv,mh,52735,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fr-tpi,Helsinki-NLP/opus-mt-fr-tpi,fr,tpi,52754,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tc-bible-big-ine-deu_eng_fra_por_spa,Helsinki-NLP/opus-mt-tc-bible-big-ine-deu_eng_fra_por_spa,tc,deu_eng_fra_por_spa,52781,translation,seq2seq,"base,ct2,ct2_int8,lora",0.5,Experimental,api_success
tcbig-bible_ine-deu_eng_fra_por_spa,Helsinki-NLP/opus-mt-tc-bible-big-ine-deu_eng_fra_por_spa,tcbig,deu_eng_fra_por_spa,52781,translation,seq2seq,"base,ct2,ct2_int8,lora",0.6666666666666666,Experimental,api_success
en-nyk,Helsinki-NLP/opus-mt-en-nyk,en,nyk,52867,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
nyk-en,Helsinki-NLP/opus-mt-nyk-en,nyk,en,52867,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
es-tpi,Helsinki-NLP/opus-mt-es-tpi,es,tpi,52913,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
pon-en,Helsinki-NLP/opus-mt-pon-en,pon,en,52997,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
en-pon,Helsinki-NLP/opus-mt-en-pon,en,pon,52997,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tc-big-en-fr,Helsinki-NLP/opus-mt-tc-big-en-fr,tc,fr,53017,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tcbig-en-fr,Helsinki-NLP/opus-mt-tc-big-en-fr,tcbig,fr,53017,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tc-big-fr-en,Helsinki-NLP/opus-mt-tc-big-fr-en,tc,en,53017,translation,seq2seq,"base,ct2,ct2_int8,lora",0.5,Experimental,api_success
tcbig-fr-en,Helsinki-NLP/opus-mt-tc-big-fr-en,tcbig,en,53017,translation,seq2seq,"base,ct2,ct2_int8,lora",0.5,Experimental,api_success
fr-gil,Helsinki-NLP/opus-mt-fr-gil,fr,gil,53127,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
gil-fr,Helsinki-NLP/opus-mt-gil-fr,gil,fr,53127,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
sv-zne,Helsinki-NLP/opus-mt-sv-zne,sv,zne,53178,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
zne-sv,Helsinki-NLP/opus-mt-zne-sv,zne,sv,53178,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
af-nl,Helsinki-NLP/opus-mt-af-nl,af,nl,53247,translation,seq2seq,"base,ct2,ct2_int8,lora",4.333333333333333,High Quality,api_success
nl-af,Helsinki-NLP/opus-mt-nl-af,nl,af,53247,translation,seq2seq,"base,ct2,ct2_int8,lora",2.5,Fair,api_success
fr-lus,Helsinki-NLP/opus-mt-fr-lus,fr,lus,53272,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
lus-fr,Helsinki-NLP/opus-mt-lus-fr,lus,fr,53272,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tc-bible-big-deu_eng_fra_por_spa-ine,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-ine,tc,ine,53305,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tcbig-bible_deu_eng_fra_por_spa-ine,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-ine,tcbig,ine,53305,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fr-mh,Helsinki-NLP/opus-mt-fr-mh,fr,mh,53353,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
mfe-es,Helsinki-NLP/opus-mt-mfe-es,mfe,es,53373,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
gil-es,Helsinki-NLP/opus-mt-gil-es,gil,es,53428,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
es-gil,Helsinki-NLP/opus-mt-es-gil,es,gil,53428,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
de-gil,Helsinki-NLP/opus-mt-de-gil,de,gil,53500,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
ase-es,Helsinki-NLP/opus-mt-ase-es,ase,es,53502,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
es-ase,Helsinki-NLP/opus-mt-es-ase,es,ase,53502,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fr-guw,Helsinki-NLP/opus-mt-fr-guw,fr,guw,53513,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
guw-fr,Helsinki-NLP/opus-mt-guw-fr,guw,fr,53513,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
es-lus,Helsinki-NLP/opus-mt-es-lus,es,lus,53585,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
lus-es,Helsinki-NLP/opus-mt-lus-es,lus,es,53585,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
zne-fr,Helsinki-NLP/opus-mt-zne-fr,zne,fr,53618,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fr-zne,Helsinki-NLP/opus-mt-fr-zne,fr,zne,53618,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
ve-en,Helsinki-NLP/opus-mt-ve-en,ve,en,53639,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
de-ase,Helsinki-NLP/opus-mt-de-ase,de,ase,53676,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
ase-de,Helsinki-NLP/opus-mt-ase-de,ase,de,53676,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
en-vi,Helsinki-NLP/opus-mt-en-vi,en,vi,53685,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
zne-es,Helsinki-NLP/opus-mt-zne-es,zne,es,53724,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
mh-es,Helsinki-NLP/opus-mt-mh-es,mh,es,53730,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
vi-en,Helsinki-NLP/opus-mt-vi-en,vi,en,53739,translation,seq2seq,"base,ct2,ct2_int8,lora",4.0,High Quality,api_success
guw-sv,Helsinki-NLP/opus-mt-guw-sv,guw,sv,53741,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
sv-guw,Helsinki-NLP/opus-mt-sv-guw,sv,guw,53741,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
lus-fi,Helsinki-NLP/opus-mt-lus-fi,lus,fi,53773,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fi-lus,Helsinki-NLP/opus-mt-fi-lus,fi,lus,53773,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
rnd-en,Helsinki-NLP/opus-mt-rnd-en,rnd,en,53832,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
en-rnd,Helsinki-NLP/opus-mt-en-rnd,en,rnd,53832,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fi-tpi,Helsinki-NLP/opus-mt-fi-tpi,fi,tpi,54083,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fi-mfe,Helsinki-NLP/opus-mt-fi-mfe,fi,mfe,54138,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tcbig-en-ro,Helsinki-NLP/opus-mt-tc-big-en-ro,tcbig,ro,54220,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tc-big-en-ro,Helsinki-NLP/opus-mt-tc-big-en-ro,tc,ro,54220,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fr-bzs,Helsinki-NLP/opus-mt-fr-bzs,fr,bzs,54231,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
bzs-fr,Helsinki-NLP/opus-mt-bzs-fr,bzs,fr,54231,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tzo-es,Helsinki-NLP/opus-mt-tzo-es,tzo,es,54248,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
es-tzo,Helsinki-NLP/opus-mt-es-tzo,es,tzo,54248,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
en-bi,Helsinki-NLP/opus-mt-en-bi,en,bi,54321,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
bi-en,Helsinki-NLP/opus-mt-bi-en,bi,en,54321,translation,seq2seq,"base,ct2,ct2_int8,lora",4.5,Gold Standard,api_success
cy-en,Helsinki-NLP/opus-mt-cy-en,cy,en,54395,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
en-cy,Helsinki-NLP/opus-mt-en-cy,en,cy,54395,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tcbig-en-it,Helsinki-NLP/opus-mt-tc-big-en-it,tcbig,it,54422,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tc-big-en-it,Helsinki-NLP/opus-mt-tc-big-en-it,tc,it,54422,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tcbig-it-en,Helsinki-NLP/opus-mt-tc-big-it-en,tcbig,en,54422,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tc-big-it-en,Helsinki-NLP/opus-mt-tc-big-it-en,tc,en,54422,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fi-gil,Helsinki-NLP/opus-mt-fi-gil,fi,gil,54432,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
gil-fi,Helsinki-NLP/opus-mt-gil-fi,gil,fi,54432,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
es-guw,Helsinki-NLP/opus-mt-es-guw,es,guw,54512,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
guw-es,Helsinki-NLP/opus-mt-guw-es,guw,es,54512,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
de-guw,Helsinki-NLP/opus-mt-de-guw,de,guw,54544,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
guw-de,Helsinki-NLP/opus-mt-guw-de,guw,de,54544,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tc-big-en-cat_oci_spa,Helsinki-NLP/opus-mt-tc-big-en-cat_oci_spa,tc,cat_oci_spa,54660,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tcbig-en-cat_oci_spa,Helsinki-NLP/opus-mt-tc-big-en-cat_oci_spa,tcbig,cat_oci_spa,54660,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tc-big-en-gmq,Helsinki-NLP/opus-mt-tc-big-en-gmq,tc,gmq,54667,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tcbig-en-gmq,Helsinki-NLP/opus-mt-tc-big-en-gmq,tcbig,gmq,54667,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
en-mg,Helsinki-NLP/opus-mt-en-mg,en,mg,54688,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
mg-en,Helsinki-NLP/opus-mt-mg-en,mg,en,54688,translation,seq2seq,"base,ct2,ct2_int8,lora",4.5,Gold Standard,api_success
tcbig-bible_gmw-en,Helsinki-NLP/opus-mt-tc-bible-big-gmw-en,tcbig,en,54702,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tc-bible-big-gmw-en,Helsinki-NLP/opus-mt-tc-bible-big-gmw-en,tc,en,54702,translation,seq2seq,"base,ct2,ct2_int8,lora",3.6666666666666665,Good,api_success
tcbig-cat_oci_spa-en,Helsinki-NLP/opus-mt-tc-big-cat_oci_spa-en,tcbig,en,54729,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tc-big-cat_oci_spa-en,Helsinki-NLP/opus-mt-tc-big-cat_oci_spa-en,tc,en,54729,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tcbig-gmq-en,Helsinki-NLP/opus-mt-tc-big-gmq-en,tcbig,en,54765,translation,seq2seq,"base,ct2,ct2_int8,lora",0.5,Experimental,api_success
tc-big-gmq-en,Helsinki-NLP/opus-mt-tc-big-gmq-en,tc,en,54765,translation,seq2seq,"base,ct2,ct2_int8,lora",0.5,Experimental,api_success
tcbig-en-pt,Helsinki-NLP/opus-mt-tc-big-en-pt,tcbig,pt,54776,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tc-big-en-pt,Helsinki-NLP/opus-mt-tc-big-en-pt,tc,pt,54776,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
zne-fi,Helsinki-NLP/opus-mt-zne-fi,zne,fi,54789,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fi-zne,Helsinki-NLP/opus-mt-fi-zne,fi,zne,54789,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
sv-ve,Helsinki-NLP/opus-mt-sv-ve,sv,ve,54793,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
id-en,Helsinki-NLP/opus-mt-id-en,id,en,54796,translation,seq2seq,"base,ct2,ct2_int8,lora",0.5,Experimental,api_success
en-id,Helsinki-NLP/opus-mt-en-id,en,id,54796,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
mh-fi,Helsinki-NLP/opus-mt-mh-fi,mh,fi,54810,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fi-mh,Helsinki-NLP/opus-mt-fi-mh,fi,mh,54810,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
en-sm,Helsinki-NLP/opus-mt-en-sm,en,sm,54880,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
sm-en,Helsinki-NLP/opus-mt-sm-en,sm,en,54880,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
